,AUD,GBP,CAD,DKK,EUR,JPY,NZD,NOK,SEK,CHF,USD
AUD,0,0.02,0.08,-0.29,-0.34,-0.62,0.15,-0.03,-0.18,-0.7,-0.16
GBP,-0.02,0,0.01,-0.24,-0.26,-0.37,-0.05,0.3,0.25,-0.4,-0.26
CAD,-0.08,-0.01,0,-0.33,-0.21,-0.72,0.23,0.11,0.14,-0.28,-0.19
DKK,0.29,0.24,0.33,0,0.2,-0.31,0.44,0.51,0.37,-0.31,0.27
EUR,0.34,0.26,0.21,-0.2,0,-0.3,0.43,0.48,0.34,-0.23,0.2
JPY,0.62,0.37,0.72,0.31,0.3,0,0.64,0.97,0.42,-0.07,0.52
NZD,-0.15,0.05,-0.23,-0.44,-0.43,-0.64,0,-0.13,-0.27,-0.75,-0.15
NOK,0.03,-0.3,-0.11,-0.5,-0.48,-0.97,0.13,0,-0.06,-0.36,-0.24
SEK,0.18,-0.25,-0.14,-0.37,-0.34,-0.42,0.27,0.06,0,-0.45,-0.04
CHF,0.7,0.4,0.28,0.31,0.23,0.07,0.75,0.36,0.45,0,0.49
USD,0.16,0.26,0.19,-0.27,-0.2,-0.52,0.15,0.24,0.04,-0.49,0
