0,0.015,0.078,-0.288,-0.335,-0.615,0.145,-0.025,-0.175,-0.7,-0.16
-0.015,0,0.005,-0.235,-0.263,-0.368,-0.053,0.295,0.245,-0.395,-0.258
-0.078,-0.005,0,-0.333,-0.213,-0.715,0.233,0.113,0.138,-0.28,-0.19
0.288,0.235,0.333,0,0.2,-0.305,0.435,0.508,0.373,-0.308,0.265
0.335,0.263,0.213,-0.2,0,-0.298,0.433,0.48,0.343,-0.225,0.203
0.615,0.368,0.715,0.305,0.298,0,0.64,0.965,0.418,-0.068,0.515
-0.145,0.053,-0.233,-0.435,-0.433,-0.64,0,-0.125,-0.265,-0.75,-0.145
0.025,-0.295,-0.113,-0.508,-0.48,-0.965,0.125,0,-0.06,-0.358,-0.24
0.175,-0.245,-0.138,-0.373,-0.343,-0.418,0.265,0.06,0,-0.453,-0.035
0.7,0.395,0.28,0.308,0.225,0.068,0.75,0.358,0.453,0,0.493
0.16,0.258,0.19,-0.265,-0.203,-0.515,0.145,0.24,0.035,-0.493,0
